img_pth,img_name,source
/dfs/data/aiszgroup/lishizhen/total/incremental/patch/Berlin2/Berlin2_0817/Berlin-slim_MP_A1_LDA1_8S%SS58D18427%-VB2011121HGR218AL2021081000000100003BL_210817135103_bl.jpg,Berlin-slim_MP_A1_LDA1_8S%SS58D18427%-VB2011121HGR218AL2021081000000100003BL_210817135103_bl.jpg,Berlin2
/dfs/data/aiszgroup/lishizhen/total/incremental/patch/Berlin2/Berlin2_0817/Berlin-slim_MP_A1_LDA1_8S%SS58D18427%-VB2011121HGR218AL2021081000000100003BL_210817135103_br.jpg,Berlin-slim_MP_A1_LDA1_8S%SS58D18427%-VB2011121HGR218AL2021081000000100003BL_210817135103_br.jpg,Berlin2
/dfs/data/aiszgroup/lishizhen/total/incremental/patch/Berlin2/Berlin2_0817/Berlin-slim_MP_A1_LDA1_8S%SS58D18427%-VB2011121HGR218AL2021081000000100003BL_210817135103_l.jpg,Berlin-slim_MP_A1_LDA1_8S%SS58D18427%-VB2011121HGR218AL2021081000000100003BL_210817135103_l.jpg,Berlin2
/dfs/data/aiszgroup/lishizhen/total/incremental/patch/Berlin2/Berlin2_0817/Berlin-slim_MP_A1_LDA1_8S%SS58D18427%-VB2011121HGR218AL2021081000000100003BL_210817135103_r.jpg,Berlin-slim_MP_A1_LDA1_8S%SS58D18427%-VB2011121HGR218AL2021081000000100003BL_210817135103_r.jpg,Berlin2
/dfs/data/aiszgroup/lishizhen/total/incremental/patch/Berlin2/Berlin2_0817/Berlin-slim_MP_A1_LDA1_8S%SS58D18427%-VB2011121HGR218AL2021081000000100003BL_210817135103_tl.jpg,Berlin-slim_MP_A1_LDA1_8S%SS58D18427%-VB2011121HGR218AL2021081000000100003BL_210817135103_tl.jpg,Berlin2
/dfs/data/aiszgroup/lishizhen/total/incremental/patch/Berlin2/Berlin2_0817/Berlin-slim_MP_A1_LDA1_8S%SS58D18427%-VB2011121HGR218AL2021081000000100003BL_210817135103_tr.jpg,Berlin-slim_MP_A1_LDA1_8S%SS58D18427%-VB2011121HGR218AL2021081000000100003BL_210817135103_tr.jpg,Berlin2
/dfs/data/aiszgroup/lishizhen/total/incremental/patch/Berlin2/Berlin2_0817/Berlin-slim_MP_A1_LDA1_8S%SS58D18427%-VB2011121HGR218AL2021081000000100003CD_210817134819_bl.jpg,Berlin-slim_MP_A1_LDA1_8S%SS58D18427%-VB2011121HGR218AL2021081000000100003CD_210817134819_bl.jpg,Berlin2
/dfs/data/aiszgroup/lishizhen/total/incremental/patch/Berlin2/Berlin2_0817/Berlin-slim_MP_A1_LDA1_8S%SS58D18427%-VB2011121HGR218AL2021081000000100003CD_210817134819_br.jpg,Berlin-slim_MP_A1_LDA1_8S%SS58D18427%-VB2011121HGR218AL2021081000000100003CD_210817134819_br.jpg,Berlin2
/dfs/data/aiszgroup/lishizhen/total/incremental/patch/Berlin2/Berlin2_0817/Berlin-slim_MP_A1_LDA1_8S%SS58D18427%-VB2011121HGR218AL2021081000000100003CD_210817134819_l.jpg,Berlin-slim_MP_A1_LDA1_8S%SS58D18427%-VB2011121HGR218AL2021081000000100003CD_210817134819_l.jpg,Berlin2
/dfs/data/aiszgroup/lishizhen/total/incremental/patch/Berlin2/Berlin2_0817/Berlin-slim_MP_A1_LDA1_8S%SS58D18427%-VB2011121HGR218AL2021081000000100003CD_210817134819_r.jpg,Berlin-slim_MP_A1_LDA1_8S%SS58D18427%-VB2011121HGR218AL2021081000000100003CD_210817134819_r.jpg,Berlin2
/dfs/data/aiszgroup/lishizhen/total/incremental/patch/Berlin2/Berlin2_0817/Berlin-slim_MP_A1_LDA1_8S%SS58D18427%-VB2011121HGR218AL2021081000000100003CD_210817134819_tl.jpg,Berlin-slim_MP_A1_LDA1_8S%SS58D18427%-VB2011121HGR218AL2021081000000100003CD_210817134819_tl.jpg,Berlin2
/dfs/data/aiszgroup/lishizhen/total/incremental/patch/Berlin2/Berlin2_0817/Berlin-slim_MP_A1_LDA1_8S%SS58D18427%-VB2011121HGR218AL2021081000000100003CD_210817134819_tr.jpg,Berlin-slim_MP_A1_LDA1_8S%SS58D18427%-VB2011121HGR218AL2021081000000100003CD_210817134819_tr.jpg,Berlin2
/dfs/data/aiszgroup/lishizhen/total/incremental/patch/Berlin2/Berlin2_0817/Berlin-slim_MP_A1_LDA1_8S%SS58D18427%-VB2011121HGR218AL2021081000000100003D9_210817135323_bl.jpg,Berlin-slim_MP_A1_LDA1_8S%SS58D18427%-VB2011121HGR218AL2021081000000100003D9_210817135323_bl.jpg,Berlin2
/dfs/data/aiszgroup/lishizhen/total/incremental/patch/Berlin2/Berlin2_0817/Berlin-slim_MP_A1_LDA1_8S%SS58D18427%-VB2011121HGR218AL2021081000000100003D9_210817135323_br.jpg,Berlin-slim_MP_A1_LDA1_8S%SS58D18427%-VB2011121HGR218AL2021081000000100003D9_210817135323_br.jpg,Berlin2
/dfs/data/aiszgroup/lishizhen/total/incremental/patch/Berlin2/Berlin2_0817/Berlin-slim_MP_A1_LDA1_8S%SS58D18427%-VB2011121HGR218AL2021081000000100003D9_210817135323_l.jpg,Berlin-slim_MP_A1_LDA1_8S%SS58D18427%-VB2011121HGR218AL2021081000000100003D9_210817135323_l.jpg,Berlin2
/dfs/data/aiszgroup/lishizhen/total/incremental/patch/Berlin2/Berlin2_0817/Berlin-slim_MP_A1_LDA1_8S%SS58D18427%-VB2011121HGR218AL2021081000000100003D9_210817135323_r.jpg,Berlin-slim_MP_A1_LDA1_8S%SS58D18427%-VB2011121HGR218AL2021081000000100003D9_210817135323_r.jpg,Berlin2
/dfs/data/aiszgroup/lishizhen/total/incremental/patch/Berlin2/Berlin2_0817/Berlin-slim_MP_A1_LDA1_8S%SS58D18427%-VB2011121HGR218AL2021081000000100003D9_210817135323_tl.jpg,Berlin-slim_MP_A1_LDA1_8S%SS58D18427%-VB2011121HGR218AL2021081000000100003D9_210817135323_tl.jpg,Berlin2
/dfs/data/aiszgroup/lishizhen/total/incremental/patch/Berlin2/Berlin2_0817/Berlin-slim_MP_A1_LDA1_8S%SS58D18427%-VB2011121HGR218AL2021081000000100003D9_210817135323_tr.jpg,Berlin-slim_MP_A1_LDA1_8S%SS58D18427%-VB2011121HGR218AL2021081000000100003D9_210817135323_tr.jpg,Berlin2
/dfs/data/aiszgroup/lishizhen/total/incremental/patch/Berlin2/Berlin2_0817/Berlin-slim_MP_A1_LDA1_8S%SS58D18427%-VB2011121HGR218AL2021081000000100003E6_210817134323_bl.jpg,Berlin-slim_MP_A1_LDA1_8S%SS58D18427%-VB2011121HGR218AL2021081000000100003E6_210817134323_bl.jpg,Berlin2
/dfs/data/aiszgroup/lishizhen/total/incremental/patch/Berlin2/Berlin2_0817/Berlin-slim_MP_A1_LDA1_8S%SS58D18427%-VB2011121HGR218AL2021081000000100003E6_210817134323_br.jpg,Berlin-slim_MP_A1_LDA1_8S%SS58D18427%-VB2011121HGR218AL2021081000000100003E6_210817134323_br.jpg,Berlin2
/dfs/data/aiszgroup/lishizhen/total/incremental/patch/Berlin2/Berlin2_0817/Berlin-slim_MP_A1_LDA1_8S%SS58D18427%-VB2011121HGR218AL2021081000000100003E6_210817134323_l.jpg,Berlin-slim_MP_A1_LDA1_8S%SS58D18427%-VB2011121HGR218AL2021081000000100003E6_210817134323_l.jpg,Berlin2
/dfs/data/aiszgroup/lishizhen/total/incremental/patch/Berlin2/Berlin2_0817/Berlin-slim_MP_A1_LDA1_8S%SS58D18427%-VB2011121HGR218AL2021081000000100003E6_210817134323_r.jpg,Berlin-slim_MP_A1_LDA1_8S%SS58D18427%-VB2011121HGR218AL2021081000000100003E6_210817134323_r.jpg,Berlin2
/dfs/data/aiszgroup/lishizhen/total/incremental/patch/Berlin2/Berlin2_0817/Berlin-slim_MP_A1_LDA1_8S%SS58D18427%-VB2011121HGR218AL2021081000000100003E6_210817134323_tl.jpg,Berlin-slim_MP_A1_LDA1_8S%SS58D18427%-VB2011121HGR218AL2021081000000100003E6_210817134323_tl.jpg,Berlin2
/dfs/data/aiszgroup/lishizhen/total/incremental/patch/Berlin2/Berlin2_0817/Berlin-slim_MP_A1_LDA1_8S%SS58D18427%-VB2011121HGR218AL2021081000000100003E6_210817134323_tr.jpg,Berlin-slim_MP_A1_LDA1_8S%SS58D18427%-VB2011121HGR218AL2021081000000100003E6_210817134323_tr.jpg,Berlin2
/dfs/data/aiszgroup/lishizhen/total/incremental/patch/Berlin2/Berlin2_0817/Berlin-slim_MP_A1_LDA1_8S%SS58D18427%-VB2011121HGR218AL2021081000000100003EE_210817134507_bl.jpg,Berlin-slim_MP_A1_LDA1_8S%SS58D18427%-VB2011121HGR218AL2021081000000100003EE_210817134507_bl.jpg,Berlin2
/dfs/data/aiszgroup/lishizhen/total/incremental/patch/Berlin2/Berlin2_0817/Berlin-slim_MP_A1_LDA1_8S%SS58D18427%-VB2011121HGR218AL2021081000000100003EE_210817134507_br.jpg,Berlin-slim_MP_A1_LDA1_8S%SS58D18427%-VB2011121HGR218AL2021081000000100003EE_210817134507_br.jpg,Berlin2
/dfs/data/aiszgroup/lishizhen/total/incremental/patch/Berlin2/Berlin2_0817/Berlin-slim_MP_A1_LDA1_8S%SS58D18427%-VB2011121HGR218AL2021081000000100003EE_210817134507_l.jpg,Berlin-slim_MP_A1_LDA1_8S%SS58D18427%-VB2011121HGR218AL2021081000000100003EE_210817134507_l.jpg,Berlin2
/dfs/data/aiszgroup/lishizhen/total/incremental/patch/Berlin2/Berlin2_0817/Berlin-slim_MP_A1_LDA1_8S%SS58D18427%-VB2011121HGR218AL2021081000000100003EE_210817134507_r.jpg,Berlin-slim_MP_A1_LDA1_8S%SS58D18427%-VB2011121HGR218AL2021081000000100003EE_210817134507_r.jpg,Berlin2
/dfs/data/aiszgroup/lishizhen/total/incremental/patch/Berlin2/Berlin2_0817/Berlin-slim_MP_A1_LDA1_8S%SS58D18427%-VB2011121HGR218AL2021081000000100003EE_210817134507_tl.jpg,Berlin-slim_MP_A1_LDA1_8S%SS58D18427%-VB2011121HGR218AL2021081000000100003EE_210817134507_tl.jpg,Berlin2
