img_pth,img_name,source
/dfs/data/aiszgroup/lishizhen/total/incremental/patch/Berlin2/Berlin2_0817/Berlin-slim_MP_A1_LDA1_8S%SS58D18427%-VB2011121HGR218AL2021081000000100003BL_210817135103_l.jpg,Berlin-slim_MP_A1_LDA1_8S%SS58D18427%-VB2011121HGR218AL2021081000000100003BL_210817135103_l.jpg,Berlin2
/dfs/data/aiszgroup/lishizhen/total/incremental/patch/Berlin2/Berlin2_0817/Berlin-slim_MP_A1_LDA1_8S%SS58D18427%-VB2011121HGR218AL2021081000000100003BL_210817135103_r.jpg,Berlin-slim_MP_A1_LDA1_8S%SS58D18427%-VB2011121HGR218AL2021081000000100003BL_210817135103_r.jpg,Berlin2
/dfs/data/aiszgroup/lishizhen/total/incremental/patch/Berlin2/Berlin2_0817/Berlin-slim_MP_A1_LDA1_8S%SS58D18427%-VB2011121HGR218AL2021081000000100003CD_210817134819_r.jpg,Berlin-slim_MP_A1_LDA1_8S%SS58D18427%-VB2011121HGR218AL2021081000000100003CD_210817134819_r.jpg,Berlin2
/dfs/data/aiszgroup/lishizhen/total/incremental/patch/Berlin2/Berlin2_0817/Berlin-slim_MP_A1_LDA1_8S%SS58D18427%-VB2011121HGR218AL2021081000000100003E6_210817134323_bl.jpg,Berlin-slim_MP_A1_LDA1_8S%SS58D18427%-VB2011121HGR218AL2021081000000100003E6_210817134323_bl.jpg,Berlin2
/dfs/data/aiszgroup/lishizhen/total/incremental/patch/Berlin2/Berlin2_0817/Berlin-slim_MP_A1_LDA1_8S%SS58D18427%-VB2011121HGR218AL2021081000000100003E6_210817134323_l.jpg,Berlin-slim_MP_A1_LDA1_8S%SS58D18427%-VB2011121HGR218AL2021081000000100003E6_210817134323_l.jpg,Berlin2
/dfs/data/aiszgroup/lishizhen/total/incremental/patch/Berlin2/Berlin2_0817/Berlin-slim_MP_A1_LDA1_8S%SS58D18427%-VB2011121HGR218AL2021081000000100003HA_210817135434_l.jpg,Berlin-slim_MP_A1_LDA1_8S%SS58D18427%-VB2011121HGR218AL2021081000000100003HA_210817135434_l.jpg,Berlin2
/dfs/data/aiszgroup/lishizhen/total/incremental/patch/Berlin2/Berlin2_0817/Berlin-slim_MP_A1_LDA1_8S%SS58D18427%-VB2011121HGR218AL2021081000000100003HF_210817135200_l.jpg,Berlin-slim_MP_A1_LDA1_8S%SS58D18427%-VB2011121HGR218AL2021081000000100003HF_210817135200_l.jpg,Berlin2
/dfs/data/aiszgroup/lishizhen/total/incremental/patch/Berlin2/Berlin2_0817/Berlin-slim_MP_A1_LDA1_8S%SS58D18427%-VB2011121HGR218AL2021081000000100003HK_210817134658_bl.jpg,Berlin-slim_MP_A1_LDA1_8S%SS58D18427%-VB2011121HGR218AL2021081000000100003HK_210817134658_bl.jpg,Berlin2
/dfs/data/aiszgroup/lishizhen/total/incremental/patch/Berlin2/Berlin2_0817/Berlin-slim_MP_A1_LDA1_8S%SS58D18427%-VB2011121HGR218AL2021081000000100003T2_210817135245_br.jpg,Berlin-slim_MP_A1_LDA1_8S%SS58D18427%-VB2011121HGR218AL2021081000000100003T2_210817135245_br.jpg,Berlin2
/dfs/data/aiszgroup/lishizhen/total/incremental/patch/Berlin2/Berlin2_0817/Berlin-slim_MP_A1_LDA1_8S%SS58D18427%-VB2011121HGR218AL2021081000000100003T2_210817135245_tl.jpg,Berlin-slim_MP_A1_LDA1_8S%SS58D18427%-VB2011121HGR218AL2021081000000100003T2_210817135245_tl.jpg,Berlin2
